id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
4	6	Core, intermediate and rare	398.83	93.5200000000001	0	0	1	754	0	177	89	0	119	0	0	0
5	5	Core, intermediate and rare	524.520000000001	100.38	0	0	1	865	0	188	123	0	78	0	0	0
6	48	Core, intermediate and rare	123.64	418.499999999999	0	0	5	252	0	801	21	0	180	0	0	0
7	15	Core, intermediate and rare	609.840000000003	229.86	0	0	19	665	0	413	308	0	284	0	0	0
8	26	Core, intermediate and rare	405.13	297.719999999999	0	0	25	498	0	533	90	0	224	0	0	80
9	32	Core, intermediate and rare	374.680000000001	313.969999999999	0	0	21	535	0	602	157	0	273	0	0	0
10	42	Core, intermediate and rare	233.33	516.619999999998	0	0	79	326	0	811	80	0	350	0	0	0
11	24	Core, intermediate and rare	349.460000000001	360.159999999999	0	0	29	454	0	605	114	0	445	0	0	29
12	36	Core, intermediate and rare	281.459999999999	377.5	0	0	55	627	0	610	47	0	353	0	0	0
13	8	Core, intermediate and rare	440.289999999999	228.33	0	0	4	782	0	455	149	0	251	0	0	0
14	34	Core, intermediate and rare	378.64	304.999999999999	0	0	26	550	0	521	118	0	434	0	0	0
15	9	Core, intermediate and rare	475.890000000001	353.25	0	0	58	496	0	575	253	0	299	0	0	0
16	40	Core, intermediate and rare	419.330000000001	344.579999999998	0	0	25	591	0	627	145	0	312	0	0	6
17	30	Core, intermediate and rare	146.42	668.289999999995	0	0	104	253	0	1144	38	0	516	0	0	0
18	45	Core, intermediate and rare	175.37	516.24	0	0	14	351	0	1046	31	0	523	0	0	0
19	12	Core, intermediate and rare	626.380000000001	55.7399999999999	0	0	6	784	0	85	314	0	195	0	0	13
20	28	Core, intermediate and rare	211.26	460.619999999999	0	0	73	198	0	671	138	0	371	0	0	22
21	35	Core, intermediate and rare	164.52	420.859999999999	0	0	24	411	0	744	26	0	336	0	0	0
22	23	Core, intermediate and rare	268.22	423.869999999997	0	0	8	537	0	844	45	0	521	0	0	0
23	10	Core, intermediate and rare	437.5	325.079999999998	0	0	0	918	0	694	37	0	558	0	0	0
24	16	Core, intermediate and rare	238.88	322.8	0	0	1	494	0	654	9	0	79	0	0	0
25	1	Core, intermediate and rare	393.48	181.4	0	0	2	780	0	368	20	0	68	0	0	0
26	46	Core, intermediate and rare	227.99	267.649999999999	0	0	0	439	0	554	12	0	181	0	0	0
27	37	Core, intermediate and rare	248.24	226.899999999999	0	0	0	509	0	484	3	0	190	0	0	0
28	7	Core, intermediate and rare	576.940000000002	161.259999999999	0	0	3	1193	0	351	58	0	385	0	0	0
29	19	Core, intermediate and rare	386.7	315.46	0	0	1	876	0	631	31	0	440	0	0	0
30	51	Core, intermediate and rare	231.88	563.639999999995	0	0	26	487	0	1020	42	0	429	0	0	0
31	17	Core, intermediate and rare	458.249999999999	280.32	0	0	38	815	0	466	92	0	208	0	0	0
32	41	Core, intermediate and rare	275.39	405.459999999999	0	0	3	529	0	752	35	0	265	0	0	0
33	11	Core, intermediate and rare	431.310000000001	288.690000000001	0	0	28	636	0	507	126	0	216	0	0	8
34	25	Core, intermediate and rare	566.110000000002	222.91	0	0	4	736	0	427	242	0	234	0	0	0
35	18	Core, intermediate and rare	298.33	625.129999999996	0	0	224	428	0	735	100	0	376	0	0	0
36	4	Core, intermediate and rare	529.02	153.46	0	0	8	901	0	278	154	0	182	0	0	0
37	29	Core, intermediate and rare	314.730000000001	333.169999999999	0	0	32	641	0	538	44	0	292	0	0	0
38	3	Core, intermediate and rare	579.37	115.33	0	0	4	980	0	204	146	0	285	0	0	0
39	13	Core, intermediate and rare	495.39	231.350000000001	0	0	16	782	0	402	156	0	275	0	0	0
40	27	Core, intermediate and rare	261.18	587.979999999999	0	0	52	372	0	984	79	0	241	0	0	0
41	47	Core, intermediate and rare	223.240000000001	469.739999999998	0	0	10	489	0	879	31	0	378	0	0	0
42	2	Core, intermediate and rare	537.959999999998	97.2600000000001	0	0	4	914	0	193	108	0	142	0	0	0
43	20	Core, intermediate and rare	219.21	361.510000000001	0	0	3	400	0	707	38	0	212	0	0	0
44	44	Core, intermediate and rare	337.92	432.319999999999	0	0	2	722	0	890	38	0	530	0	0	0
45	33	Core, intermediate and rare	217.029999999999	209.06	0	0	0	501	0	450	2	0	139	0	0	0
46	38	Core, intermediate and rare	215.38	269.410000000001	0	0	1	433	0	518	9	0	132	0	0	0
47	31	Core, intermediate and rare	365.14	377.039999999997	0	0	6	825	0	779	26	0	542	0	0	0
48	48	Core, intermediate and rare	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	49	Core, intermediate and rare	5.07999999999999	8.14999999999996	0	0	0	20	16	0	0	1	69	0	0	0
50	50	Core, intermediate and rare	56.0499999999999	105.97	23	3	0	27	167	0	0	83	128	66	0	0
51	51	Core, intermediate and rare	25.8	76.3599999999995	10	0	0	44	169	0	1	6	286	24	0	0
52	52	Core, intermediate and rare	17.16	31.8500000000001	15	0	0	22	54	0	1	11	136	11	0	0
53	53	Core, intermediate and rare	48.95	16.9	3	0	0	57	50	0	0	43	91	70	0	0
54	54	Core, intermediate and rare	65.6300000000001	22.0800000000001	6	0	0	69	58	1	0	44	154	18	0	0
55	55	Core, intermediate and rare	58.3500000000001	20.6	26	0	0	27	10	0	0	57	11	177	0	0
56	56	Core, intermediate and rare	28.19	13.49	11	0	0	70	12	0	1	12	71	38	0	0
57	57	Core, intermediate and rare	224.11	61.92	94	1	4	223	61	21	77	59	138	119	2	2
58	58	Core, intermediate and rare	16.76	28.8	5	0	0	28	34	0	1	6	70	65	0	0
59	59	Core, intermediate and rare	25.0000000000001	6.44	18	0	0	4	4	0	0	38	2	305	0	0
